name,twitterAccount,followers,following,tweets,created_at,type
Serdal Benli,@SerdalBenli,1016,109,297,01/11-2011,Regionalt/lokalt
Marie Krarup,@MarieKrarup,1009,60,246,28/01-2015,Folketinget
Jakob Sølvhøj,@JakobSoelvhoej,1007,225,647,01/10-2014,Folketinget
Skatteministeriet,@skmdk,999,75,86,10/03-2015,Folketinget
Villum Christensen,@VillumC,989,39,1,02/09-2009,Folketinget
Lars Gaardhøj,@larsgaardhoj,979,1583,2844,23/11-2012,Regionalt/lokalt
SF Ungdom,@SF_Ungdom,979,91,293,23/07-2013,Parti
Kenneth K Berth,@Kristensenberth,954,74,255,12/09-2014,Regionalt/lokalt
Anne Ehrenreich,@anneehrenreich,934,997,1917,04/08-2010,Regionalt/lokalt
Bo Nygaard Larsen,@bonygaardlarsen,933,861,6424,02/04-2009,Regionalt/lokalt
Joy Mogensen,@Joymogensen,930,561,363,21/05-2012,Regionalt/lokalt
Min_BørnUndervisLige,@UVM_dk,929,261,407,17/04-2013,Folketinget
Michael Vindfeldt,@MVindfeldt,919,759,2594,15/01-2013,Regionalt/lokalt
Peter Juel Jensen,@PeterJuelJensen,912,50,18,13/08-2013,Folketinget
Pia Adelsteen,@PAdelsteen,881,272,155,13/09-2012,Folketinget
Marlene Harpsøe,@MarleneHARPSOEE,876,319,632,21/01-2014,Regionalt/lokalt
Christian Haugk,@ChristianHaugk,875,575,211,02/03-2013,Regionalt/lokalt
Lars Krarup,@krarup_lars,836,243,576,09/10-2014,Regionalt/lokalt
Flemming M Mortensen,@FlemmingMM,831,129,68,09/10-2014,Folketinget
MetteAnnelie,@mette_annelie,821,837,2053,08/02-2011,Regionalt/lokalt
Chr Rabjerg Madsen,@RabjergMadsen,796,839,553,04/11-2013,Folketinget
Emil Blücher,@emilblucher,795,404,148,08/09-2009,Regionalt/lokalt
DF Ungdom,@DFUngdom,781,288,235,01/09-2014,Parti
Roger Matthisen,@fightingheart,773,450,895,28/06-2009,Folketinget
Christina Krzyrosiak,@CKrzyrosiak,763,937,138,09/02-2013,Regionalt/lokalt
Peter Hegner Bonfils,@peterbonfils,729,1239,6542,06/07-2009,Regionalt/lokalt
Niels Peter Bøgballe,@NPBogballe,726,1443,1177,14/01-2013,Regionalt/lokalt
Jens Stenbæk (V),@jensstenbaek,715,140,141,01/02-2010,Regionalt/lokalt
Troels Ravn,@RavnTroels,671,384,91,01/09-2014,Folketinget
Bünyamin Simsek,@BSimsekV,669,196,133,07/06-2011,Regionalt/lokalt
Ulrik Kohl,@UlrikKohl,665,665,151,13/07-2009,Regionalt/lokalt
Winni Grosbøll,@wgrosboell,662,157,233,01/03-2016,Regionalt/lokalt
Annette Lind,@annette_lind,661,233,3,26/11-2014,Folketinget
Britt Bager,@brittbager,653,502,116,05/07-2014,Folketinget
Steen Christiansen,@steen2620,645,616,1278,15/10-2014,Regionalt/lokalt
May-Britt Kattrup,@MayBrittKattrup,638,112,281,30/08-2013,Folketinget
Transportministeriet,@TRM_dk,632,151,255,17/04-2013,Folketinget
Nick Hækkerup,@Nickerup,623,9,0,14/09-2012,Folketinget
Rune Lund,@RuneLundEL,623,416,420,03/12-2015,Folketinget
ThomasKastrup-Larsen,@KastrupLarsen,620,51,220,14/01-2015,Regionalt/lokalt
Allan Ahmad,@AllanAhmadDK,611,422,1305,26/09-2013,Regionalt/lokalt
Jonas Bjørn,@Jonasbjorn,598,547,292,30/03-2009,Regionalt/lokalt
MiaNyegaard,@MiaNyegaard,595,481,600,26/11-2008,Regionalt/lokalt
Steen Møller,@SteenMoller,590,190,215,03/08-2010,Regionalt/lokalt
Thomas Gyldal,@ThomasGyldal,577,289,118,11/10-2015,Regionalt/lokalt
Erling Bonnesen,@ErlingBonnesen,576,416,36,04/02-2015,Folketinget
Lise Bech,@LiseBech,573,312,1117,27/04-2012,Folketinget
SUF,@sufnet,571,116,334,13/08-2014,Parti
Marc P Christensen,@MarcPerera,569,257,181,15/06-2009,Regionalt/lokalt
Orla Hav,@HavOrla,566,35,40,17/12-2014,Folketinget
Pernille Bendixen,@BendixenPebe,562,62,1103,07/06-2012,Regionalt/lokalt
Lisbeth Lauritsen,@L_Lauritsen,561,695,641,15/02-2013,Regionalt/lokalt
Balder Mørk Andersen,@sfBalder,551,907,1085,21/03-2014,Regionalt/lokalt
CharlotteEngelbrecht,@CharlotteCre,540,848,10663,13/01-2013,Regionalt/lokalt
sarah_glerup,@sarah_glerup,538,70,206,03/05-2012,Folketinget
Lasse Strüwing,@Ls_Hansen,516,934,724,27/11-2012,Regionalt/lokalt
Daniel Prehn,@DanielPrehn1,509,610,7536,18/09-2012,Regionalt/lokalt
Stén Knuth,@Sten_Knuth,505,201,1466,30/04-2009,Regionalt/lokalt
Lene Horsbøl,@LeneHorsboel,501,383,562,03/07-2013,Regionalt/lokalt
Steen Wrist Ørts,@steenwrist,489,295,790,07/04-2009,Regionalt/lokalt
Aaja Chemnitz Larsen,@AajaCL,478,184,1865,05/02-2012,Folketinget
Lise Müller,@Lisem_ller,472,278,396,28/11-2013,Regionalt/lokalt
Martin Damm,@martinldamm,470,15,49,17/06-2015,Regionalt/lokalt
Lars Berg Dueholm,@LarsDueholm,463,323,894,19/04-2013,Regionalt/lokalt
Maria Sloth,@MariaSloth,460,123,429,03/04-2013,Regionalt/lokalt
Peter Rahbæk Juel,@Rahbaek,459,309,143,06/08-2009,Regionalt/lokalt
Rune Højer,@RuneHojer,456,1965,1557,11/03-2012,Regionalt/lokalt
Mette H Dencker,@dfmehd_mette,453,5,34,06/08-2014,Folketinget
Camilla Pedersen,@camillalouped,451,695,163,30/06-2014,Regionalt/lokalt
SusanneUrsulaCrawley,@susanneursula,451,119,203,03/05-2009,Regionalt/lokalt
Social- og Indenrigs,@Socialindenrigs,447,70,136,29/11-2015,Folketinget
Kristian Guldfeldt,@Guldfeldt,446,492,1233,15/03-2009,Regionalt/lokalt
Lasse Frimand Jensen,@LasseFJaalborg,445,618,167,08/07-2012,Regionalt/lokalt
ChristofferLilleholt,@LilleholtC,441,331,229,19/05-2014,Regionalt/lokalt
Andreas Pourkamali,@andpourkamali,436,686,364,07/07-2011,Regionalt/lokalt
Jakob Lose,@Jakob_Lose,436,409,865,05/03-2011,Regionalt/lokalt
Kasper Fuhr,@KasperFuhr,435,1068,414,18/05-2009,Regionalt/lokalt
J H Thulesen Dahl,@JThulesen,430,9,34,18/09-2013,Folketinget
Rolf Rasmussen,@rolfrasmus,428,555,890,05/03-2009,Regionalt/lokalt
Andreas Boesen,@AndreasBoesen2,417,663,516,04/07-2013,Regionalt/lokalt
Kirsten Rask,@KirstenRask,410,195,2348,08/09-2009,Regionalt/lokalt
Claus Kvist Hansen,@ClausKvist_DF,407,209,460,18/02-2015,Folketinget
LoneYalcinkaya,@LoneYalcinkaya,406,452,4283,08/06-2013,Regionalt/lokalt
Rune Dybvad Simonsen,@RuneDybvad,405,249,161,23/01-2013,Regionalt/lokalt
Merete Due Paarup,@MereteDuePaarup,402,369,1423,13/08-2011,Regionalt/lokalt
Pernille Beckmann,@PernilleBeckman,400,296,445,19/04-2009,Regionalt/lokalt
Anders Broholm,@andersbroholm,395,710,395,30/04-2009,Regionalt/lokalt
Özkan Kocak,@O76kocak,393,632,702,13/08-2011,Regionalt/lokalt
Anne Nygaard,@AnneNygaardRV,391,319,294,24/09-2013,Regionalt/lokalt
Lars Boje Mathiesen,@LBMathiesen,390,185,342,30/11-2012,Regionalt/lokalt
Anja Camilla Jensen,@AnjaCamillaRavn,388,578,901,28/02-2013,Regionalt/lokalt
Susanne Eilersen,@Eilersen_DF,387,522,474,27/05-2015,Folketinget
Tilde Bork,@TildeBork,386,128,45,19/04-2014,Folketinget
Brian Dybro,@BrianDybro,375,146,134,17/08-2013,Regionalt/lokalt
Christian Donatzky,@donatzky,371,292,282,08/05-2010,Regionalt/lokalt
Stephanie Lose,@stephanie_lose,371,87,59,15/10-2015,Regionalt/lokalt
Mette Thiesen,@ThiesenMette,361,355,511,29/04-2013,Regionalt/lokalt
Lasse P N Olsen,@LassePNO,350,294,273,10/02-2013,Regionalt/lokalt
Chr Wedell-Neegaard,@StemChristian,349,434,186,12/04-2011,Regionalt/lokalt
Aleqa Hammond,@AleqaHammond,348,56,64,21/05-2015,Folketinget
Pernille Schnoor,@Pernilleschnoor,339,118,31,22/04-2009,Folketinget
Christian Brøns,@BroensChristian,335,85,200,20/11-2012,Regionalt/lokalt
Sine Heltberg,@sineheltberg,334,157,261,02/01-2013,Regionalt/lokalt
Jens Peter Hansen,@jenspeterhansen,334,238,2581,13/11-2008,Regionalt/lokalt
Leif Mikkelsen,@mikkelsen_leif,333,174,2,19/09-2014,Folketinget
Erik Christensen,@ech58,327,78,215,03/06-2014,Folketinget
Jørn Dohrmann,@MEPDohrmann,326,21,131,04/12-2014,EU
Kurt Damsted,@KurtDamsted,325,443,7734,18/07-2011,Regionalt/lokalt
Merete Scheelsbeck,@Scheelsbeck,321,222,24,22/04-2009,Regionalt/lokalt
Tim Vermund,@TimVermund,319,202,169,22/01-2013,Regionalt/lokalt
Neil Bloem,@NeilBloem,316,163,11,02/04-2009,Regionalt/lokalt
Stephan Kleinschmidt,@KleinschmidtDK,306,329,112,14/10-2009,Regionalt/lokalt
Morten Jung,@mortenjung,302,32,175,06/09-2009,Regionalt/lokalt
Flemming Pless,@Fpless,302,182,400,01/04-2009,Regionalt/lokalt
Michael Vajhøj,@roadhigh,299,456,545,16/03-2009,Regionalt/lokalt
Kisser Franciska,@KisserFLehnert,297,202,602,01/10-2013,Regionalt/lokalt
Jesper Kiel,@jesperkiel,297,108,357,17/11-2010,Regionalt/lokalt
Jonathan Nielsen,@JonathanNielsen,291,384,159,16/04-2009,Regionalt/lokalt
Mogens Gade,@MogensGade,289,1,1669,28/06-2013,Regionalt/lokalt
Jeppe Jakobsen,@MFjeppejakobsen,286,188,883,09/09-2015,Folketinget
Latifa Ljørring,@Latifa_Venstre,283,270,710,31/05-2013,Regionalt/lokalt
Rose Sloth Hansen,@RoseSHansen,281,431,438,29/09-2011,Regionalt/lokalt
Anders Kronborg,@AndersKronborg,279,518,311,26/09-2009,Regionalt/lokalt
Poul V Jensen,@poulvjensen,276,233,126,15/07-2011,Regionalt/lokalt
Mark Grossmann,@MarkGrossmannV,271,571,186,27/02-2014,Regionalt/lokalt
Daniel Toft Jakobsen,@ToftJakobsen,270,59,7,20/11-2014,Folketinget
Jens Vind,@jens_vind,267,281,127,09/06-2013,Regionalt/lokalt
Johan Brødsgaard,@JBroedsgaard,267,258,233,26/04-2009,Regionalt/lokalt
Leon Sebbelin,@LeonSebbelin,265,40,147,08/01-2013,Regionalt/lokalt
Fasael Rehman,@FasaelRehman,263,419,89,29/09-2013,Regionalt/lokalt
Anne V Kristensen,@Annevkristensen,261,397,109,25/09-2009,Regionalt/lokalt
Gert Bjerregaard,@GertBjerregaard,261,643,118,21/05-2014,Regionalt/lokalt
Thomas Krarup,@ThomasKrarup,261,104,517,27/02-2011,Regionalt/lokalt
Heino Knudsen,@HeinoKnudsen,253,486,267,26/08-2013,Regionalt/lokalt
Karen J Klint,@KarenJKlint,252,32,2,07/10-2013,Folketinget
Line Mørk,@linemoerk,251,344,288,19/01-2013,Regionalt/lokalt
Niels E Bjerrum,@NielsBjerrum,250,280,874,15/07-2011,Regionalt/lokalt
Claus Houden,@ClausHouden,248,796,88,20/08-2014,Regionalt/lokalt
Carl Andersen,@CarlAndersenLA,247,219,267,26/04-2012,Regionalt/lokalt
Julie Gottschalk,@JulieG0ttschalk,245,328,91,29/09-2013,Regionalt/lokalt
Torben Lollike,@torbenlollike,240,427,563,17/04-2009,Regionalt/lokalt
Timo Jensen,@Timo67,238,460,6127,14/06-2012,Regionalt/lokalt
Marco Oehlenschläger,@OehlenschlagerM,230,429,577,30/06-2013,Regionalt/lokalt
Peter Sørensen,@PeterSHorsens,229,50,34,04/10-2013,Regionalt/lokalt
Marie Stærke,@mariestaerke,223,387,421,03/02-2016,Regionalt/lokalt
Klaus Markussen,@klausmarkussen,220,124,115,12/03-2009,Regionalt/lokalt
Jeppe Trolle,@JeppeTrolle,213,116,472,24/10-2012,Regionalt/lokalt
Brigitte K Jerkel,@JerkelK,211,379,49,11/06-2014,Regionalt/lokalt
Henrik Nord,@henriknorddk,209,156,49,08/09-2011,Regionalt/lokalt
Jesper Andreasen,@jesperandreasen,201,402,168,14/04-2009,Regionalt/lokalt
Lars Aslan,@lars_aslan,201,34,221,31/01-2016,Folketinget
Jan Johansen,@janjohansen16,198,5,0,14/09-2013,Folketinget
Søren Rasmussen,@SorenRasmussenO,197,62,98,05/09-2011,Regionalt/lokalt
Henrik Boye,@henrikboyeLA,197,36,89,25/06-2014,Regionalt/lokalt
Mette-Katrine E Buch,@TweetTheBuch,196,82,523,30/06-2011,Regionalt/lokalt
Henrik Hvidesten,@HenrikHvidesten,194,206,202,03/11-2015,Regionalt/lokalt
